,first_ci_width_pct,second_ci_width_pct,third_ci_width_pct
v_max_1,15.763783116498805,25.82402982697562,23.260806637249658
Ka2_1,336.9161967051974,477.51059083708765,506.2577105576588
Ka3_1,58.23001317754281,66.22235227488184,75.06279863293251
K_g6p_1,11.53474913755625,11.215554884591967,9.571088877090107
Ks_g6p_pgi,137.55746978158402,117.68025838176274,118.44061072140367
kcat_f_2,19.0420279288617,25.08860444989511,21.117416219788513
kcat_f_3,12.053939963012516,14.580446580906775,49.927372349015606
Ks_fbp_4,822.4194634314807,706.2843018468003,532.0587357986875
kcat_f_4,801.7605514511977,658.61330914141,494.6995725667564
kcat_f_5,166.23802001279822,88.77013461683822,65.82050321111906
kcat_f_6,136.34861637707616,122.96808614969395,127.06189332363915
kcat_f_7,34.77017507757778,53.95886643256377,57.00325259946375
kcat_f_8,37.01198753815083,77.11642360648835,90.99558269755902
Ks_3pg_8,198.8720731437069,242.34284422824646,258.9945703086123
kcat_f_9,83.15071302079649,93.02043536916305,75.65901932433897
Ks_2pg_9,291.92400806249,499.1909756107141,381.95691578056363
